gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.628736,5.977225,11.954449,0.729642,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.624640,6.016420,12.032840,0.734426,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.628736,5.977225,11.954449,0.729642,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.782336,4.803686,76.858974,4.691099,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.778240,4.828968,77.263492,4.715789,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.780288,4.816294,77.060705,4.703412,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.410400,10.539427,168.630835,10.292409,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.472096,10.482747,167.723952,10.237058,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.485152,10.470831,167.533291,10.225421,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,14.244832,8.442296,135.076731,8.244429,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_pipe_bw,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,14.203904,8.466622,135.465949,8.268185,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
